,city,state_id,county,lat,long,population,density,timezone,ranking,zips,dR_year,dG_year,dB_year
0,Albany,NY,Albany,42.6664,-73.7987,586383,1740,America/New_York,2,38,0.005838404450204153,0.005997569472151619,0.00903786504485194
1,Annapolis,MD,Anne Arundel,38.9706,-76.5047,39223,2100,America/New_York,2,4,0.017252971398122763,0.013068080656863622,0.004154368420812746
2,Atlanta,GA,Fulton,33.7627,-84.4224,5449398,1441,America/New_York,1,56,0.006408007813002085,0.007584065960019765,0.01364815800035468
3,Augusta,ME,Kennebec,44.3341,-69.7319,22116,130,America/New_York,3,5,0.019462652950035627,0.017132904622786306,0.011631259575626458
4,Austin,TX,Travis,30.3004,-97.7522,1687311,1181,America/Chicago,1,71,6.892980051256199e-05,0.00023682082136655406,0.000742178561537275
5,Baton Rouge,LA,East Baton Rouge,30.4418,-91.131,570308,983,America/Chicago,2,33,0.0018111809801402271,0.0013583224493066146,0.0007745130015005184
6,Bismarck,ND,Burleigh,46.8144,-100.7694,98345,827,America/Chicago,2,5,0.006920270732057844,0.008422891323569746,0.008949676026890759
7,Boise,ID,Ada,43.6007,-116.2312,389280,1056,America/Boise,2,22,0.004740425926528686,0.005270538254756775,0.004663842243539026
8,Boston,MA,Suffolk,42.3188,-71.0846,4688346,5532,America/New_York,1,53,0.0009034779059318164,0.00097941686166841,0.0035802977355833066
9,Carson City,NV,Carson City,39.1512,-119.7474,58756,149,America/Los_Angeles,2,9,0.00018200193608695922,0.00013184485579885249,0.00044321308457592306
10,Charleston,WV,Kanawha,38.3484,-81.6323,138706,570,America/New_York,2,34,0.004566923795462079,0.0037262197779309087,0.006806597069058471
11,Cheyenne,WY,Laramie,41.1351,-104.79,79484,771,America/Denver,2,5,0.004791790051005137,0.004055540901730683,0.0015282146229310793
12,Columbia,SC,Richland,34.0376,-80.9037,560041,373,America/New_York,2,24,0.04116764351120164,0.033571258540466005,0.022720439622252404
13,Columbus,OH,Franklin,39.9862,-82.985,1562009,1582,America/New_York,1,54,0.007804625322448321,0.004987332809991642,0.000875912118029372
14,Concord,NH,Merrimack,43.2305,-71.5595,43627,263,America/New_York,2,4,0.011129659300810717,0.011129211073910534,0.007856509424014089
15,Denver,CO,Denver,39.7621,-104.8759,2876625,1831,America/Denver,1,54,0.005593032679290941,0.005347654101181511,0.0054338428723641795
16,Des Moines,IA,Polk,41.5725,-93.6105,473957,938,America/Chicago,2,44,0.010448350745923487,0.009767961612828979,0.0022383099845386203
17,Dover,DE,Kent,39.161,-75.5203,117282,622,America/New_York,2,5,0.007173829769536885,0.006107832354671095,0.00300952068410854
18,Frankfort,KY,Franklin,38.1924,-84.8643,38852,725,America/New_York,2,8,0.004104660694227127,0.0031052778839548052,0.0017902459164173788
19,Harrisburg,PA,Dauphin,40.2752,-76.8843,442289,2343,America/New_York,2,18,0.002099022230732025,0.0017903837959734794,0.0018342577239119546
20,Hartford,CT,Hartford,41.7661,-72.6834,905152,2712,America/New_York,2,32,0.001839086936378548,0.0007652084432388337,0.0015550935527042396
21,Helena,MT,Lewis and Clark,46.5965,-112.0202,52936,760,America/Denver,2,6,0.0037632383036239492,0.004673116368313895,0.0035804540968767413
22,Honolulu,HI,Honolulu,21.3294,-157.846,820987,2200,Pacific/Honolulu,2,41,0.02456055263478378,0.02276419594579945,0.017398298214106832
23,Indianapolis,IN,Marion,39.7771,-86.1458,1588961,935,America/Indiana/Indianapolis,1,53,0.0008997433885933101,0.0030666721985906573,0.003248583566103026
24,Jackson,MS,Hinds,32.3163,-90.2124,325350,558,America/Chicago,2,30,0.003994936623024111,0.003101225203846793,0.008155773366143478
25,Jefferson City,MO,Cole,38.5676,-92.1759,58025,457,America/Chicago,2,11,0.005122911852955482,0.005113078426069621,0.0025477676187959024
26,Juneau,AK,Juneau,58.4546,-134.1739,31974,4,America/Juneau,2,8,0.005001413439631355,0.003690546848666635,0.0017131552599307061
27,Lansing,MI,Ingham,42.7142,-84.5601,324286,1164,America/Detroit,2,18,0.004293857420297734,0.004807126864500976,0.002403701085263189
28,Lincoln,NE,Lancaster,40.809,-96.6788,289490,1160,America/Chicago,2,22,0.002337568847427219,0.002684945334294508,0.0024869514504171006
29,Little Rock,AR,Pulaski,34.7256,-92.3576,439815,634,America/Chicago,2,22,0.0030390702704504225,0.0024707953249535784,0.0015139923979534031
30,Madison,WI,Dane,43.0826,-89.3931,447245,1263,America/Chicago,2,29,0.0002078316148256682,0.000700638822290266,0.003002024039591619
31,Montgomery,AL,Montgomery,32.3473,-86.2666,254634,479,America/Chicago,2,31,0.004432232845292476,0.004655726950398496,0.0005781280003477965
32,Montpelier,VT,Washington,44.2658,-72.5717,7372,283,America/New_York,2,5,0.001700885388157508,0.0018666319525493928,0.005155542907079833
33,Nashville,TN,Davidson,36.1715,-86.7843,1081903,544,America/Chicago,1,50,0.006676281213424027,0.006118616677063935,0.002492051367351425
34,Oklahoma City,OK,Oklahoma,35.4676,-97.5136,972943,417,America/Chicago,2,77,0.05943600963399672,0.04659959792575721,0.025569130992931816
35,Olympia,WA,Thurston,47.0417,-122.8959,200915,1119,America/Los_Angeles,2,7,0.00544235391070219,0.004942396833342083,0.004577409113133184
36,Phoenix,AZ,Maricopa,33.5722,-112.0891,4219697,1253,America/Phoenix,1,82,0.009385022702572274,0.009223251335721473,0.008989149375056247
37,Pierre,SD,Hughes,44.3748,-100.3205,14659,410,America/Chicago,2,1,0.004886925916368201,0.0054802626681238155,0.004065365787677402
38,Providence,RI,Providence,41.823,-71.4187,1203230,3773,America/New_York,1,12,0.00015612962616291698,0.00025004533179995845,0.0011550311089167623
39,Raleigh,NC,Wake,35.8325,-78.6435,1038738,1254,America/New_York,1,37,0.0010786889406707583,0.00011748209027491649,0.0014084057249943401
40,Richmond,VA,Richmond,37.5295,-77.4756,1075798,1484,America/New_York,1,32,0.006195048169421709,0.002582614786891402,0.000635781701694
41,Sacramento,CA,Sacramento,38.5667,-121.4683,1898019,2029,America/Los_Angeles,1,86,0.0014178446942621774,0.0012034442278930821,0.003969235816496769
42,Saint Paul,MN,Ramsey,44.9477,-93.104,308096,2288,America/Chicago,2,23,0.024674819286651488,0.02247781593220363,0.009990152758662375
43,Salem,OR,Marion,44.9231,-123.0246,266804,1382,America/Los_Angeles,2,10,0.0038895855753295914,0.004986311620449434,0.004975201887196105
44,Salt Lake City,UT,Salt Lake,40.7777,-111.9306,1098526,699,America/Denver,1,32,0.004500534628972573,0.004781883195197226,0.003481842056475052
45,Santa Fe,NM,Santa Fe,35.6619,-105.9819,111269,625,America/Denver,2,6,0.0002192456875892122,0.00039136226585585954,0.0004234034924307671
46,Springfield,IL,Sangamon,39.771,-89.6538,158509,723,America/Chicago,2,31,0.0041586056340866115,0.0033602870763773892,0.0014816540745825717
47,Tallahassee,FL,Leon,30.4551,-84.2526,257601,747,America/New_York,2,16,0.0006994635455807127,0.00016882409795174164,4.1200617300608896e-05
48,Topeka,KS,Shawnee,39.0346,-95.6955,147458,787,America/Chicago,2,24,0.005202994250476873,0.003437946509408435,0.0020258135834031812
49,Trenton,NJ,Mercer,40.2236,-74.7641,290716,4238,America/New_York,2,17,0.004562832842585116,0.0006018977826619545,0.007461256092296531
50,Washington,DC,District of Columbia,38.9047,-77.0163,5379184,4457,America/New_York,1,292,9.014445886755785e-05,0.002784528346791507,0.0015639145126234285
