city,state_id,state,county,lat,long,population,density,military,incorporated,capital,timezone,ranking,zips
New York,NY,New York,New York,40.6943,-73.9249,18713220,10715,FALSE,TRUE,FALSE,America/New_York,1,309
Los Angeles,CA,California,Los Angeles,34.1139,-118.4068,12750807,3276,FALSE,TRUE,FALSE,America/Los_Angeles,1,196
Chicago,IL,Illinois,Cook,41.8373,-87.6862,8604203,4574,FALSE,TRUE,FALSE,America/Chicago,1,85
Miami,FL,Florida,Miami-Dade,25.7839,-80.2102,6445545,5019,FALSE,TRUE,FALSE,America/New_York,1,30
Dallas,TX,Texas,Dallas,32.7936,-96.7662,5743938,1526,FALSE,TRUE,FALSE,America/Chicago,1,107
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5649300,4554,FALSE,TRUE,FALSE,America/New_York,1,86
Houston,TX,Texas,Harris,29.7863,-95.3889,5464251,1399,FALSE,TRUE,FALSE,America/Chicago,1,181
Atlanta,GA,Georgia,Fulton,33.7627,-84.4224,5449398,1441,FALSE,TRUE,TRUE,America/New_York,1,56
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5379184,4457,FALSE,TRUE,TRUE,America/New_York,1,292
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0846,4688346,5532,FALSE,TRUE,TRUE,America/New_York,1,53
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0891,4219697,1253,FALSE,TRUE,TRUE,America/Phoenix,1,82
Seattle,WA,Washington,King,47.6211,-122.3244,3789215,3469,FALSE,TRUE,FALSE,America/Los_Angeles,1,48
San Francisco,CA,California,San Francisco,37.7562,-122.443,3592294,7256,FALSE,TRUE,FALSE,America/Los_Angeles,1,50
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3506126,1864,FALSE,TRUE,FALSE,America/Detroit,1,46
San Diego,CA,California,San Diego,32.8312,-117.1225,3220118,1686,FALSE,TRUE,FALSE,America/Los_Angeles,1,84
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2977172,3071,FALSE,TRUE,FALSE,America/Chicago,1,39
Tampa,FL,Florida,Hillsborough,27.9942,-82.4451,2908063,1353,FALSE,TRUE,FALSE,America/New_York,1,40
Denver,CO,Colorado,Denver,39.7621,-104.8759,2876625,1831,FALSE,TRUE,TRUE,America/Denver,1,54
Brooklyn,NY,New York,Kings,40.6501,-73.9496,2559903,14221,FALSE,TRUE,FALSE,America/New_York,1,37
Queens,NY,New York,Queens,40.7498,-73.7976,2230722,7885,FALSE,TRUE,FALSE,America/New_York,1,61
Riverside,CA,California,Riverside,33.9381,-117.3948,2107852,1574,FALSE,TRUE,FALSE,America/Los_Angeles,1,14
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2106068,2830,FALSE,TRUE,FALSE,America/New_York,1,38
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2104198,1773,FALSE,TRUE,FALSE,America/Los_Angeles,1,44
Portland,OR,Oregon,Multnomah,45.5372,-122.65,2074775,1894,FALSE,TRUE,FALSE,America/Los_Angeles,1,49
San Antonio,TX,Texas,Bexar,29.4658,-98.5253,2049293,1231,FALSE,TRUE,FALSE,America/Chicago,1,83
St. Louis,MO,Missouri,St. Louis,38.6358,-90.2451,2024074,1879,FALSE,TRUE,FALSE,America/Chicago,1,36
Sacramento,CA,California,Sacramento,38.5667,-121.4683,1898019,2029,FALSE,TRUE,TRUE,America/Los_Angeles,1,86
Orlando,FL,Florida,Orange,28.4772,-81.3369,1822394,1003,FALSE,TRUE,FALSE,America/New_York,1,31
San Jose,CA,California,Santa Clara,37.3019,-121.8486,1798103,2218,FALSE,TRUE,FALSE,America/Los_Angeles,1,58
Cleveland,OH,Ohio,Cuyahoga,41.4767,-81.6804,1710093,1893,FALSE,TRUE,FALSE,America/New_York,1,30
Pittsburgh,PA,Pennsylvania,Allegheny,40.4396,-79.9762,1703266,2093,FALSE,TRUE,FALSE,America/New_York,1,52
Austin,TX,Texas,Travis,30.3004,-97.7522,1687311,1181,FALSE,TRUE,TRUE,America/Chicago,1,71
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5061,1662691,1507,FALSE,TRUE,FALSE,America/New_York,1,45
